,data,headline
0,"December 18, 2021",UK Brexit chief resigns over ‘direction’ of Boris Johnson’s government
1,"December 17, 2021",Brexit talks head into 2022 as UK softens Northern Ireland governance demands
2,"December 16, 2021",UK and Australia sign first brand new post-Brexit trade deal
3,"December 16, 2021",EU leaders threaten Russia with sanctions over Ukraine
4,"December 16, 2021",China’s trade attack on Lithuania exposes EU’s powerlessness
5,"December 16, 2021",Post-Brexit talks on Gibraltar’s future drag into 2022
6,"December 15, 2021",UK delays post-Brexit checks on goods entering Great Britain from Ireland
7,"December 9, 2021",EU to hit Russian mercenary group Wagner with sanctions
8,"December 9, 2021",EU’s business ethics rules risk falling apart
9,"December 9, 2021",Chinese bogeyman looms over New Caledonia’s independence vote
10,"December 8, 2021",UK foreign secretary signals drive for strategic autonomy
11,"December 8, 2021","Olaf Scholz picks top EU, economic and foreign advisers: official"
12,"December 8, 2021",Meet Germany’s new government
13,"December 8, 2021",Emmanuel Macron courts the countryside
14,"December 7, 2021","On cusp of chancellery, Scholz warns Russia, goes softer on China"
15,"December 6, 2021",EU flexes geopolitical muscle with new trade weapon
16,"December 6, 2021",US and Europe ready ‘significant and severe’ sanctions if Russia invades Ukraine
17,"December 6, 2021",Lithuania asks EU for ‘strong reaction’ to Chinese pressure
18,"December 5, 2021",Britain’s US trade charm offensive at risk amid steel row
19,"December 1, 2021",Šefčovič: EU ‘ready to move’ unilaterally on Northern Ireland medicines
20,"December 1, 2021",Macron says Brexit rules matter of ‘war and peace’ for Ireland amid UK spats
21,"December 1, 2021",Fears of Brexit hold-up over UK-US steel spat
22,"December 1, 2021",Lukashenko renews threats to cut Russian gas supplies to EU
23,"November 30, 2021",EU makes late bid to rival China on the Silk Road
24,"November 30, 2021",EU Commission downplays food shortage fears amid energy price surge
25,"November 30, 2021",​​Macron seeks electoral boost from French sway over EU trade
26,"November 30, 2021",How UK trade went woke
27,"November 28, 2021",Omicron outbreak turns up heat on EU over vaccine access
28,"November 28, 2021","New German government should change tack over Nord Stream 2, Poland’s PM says"
29,"November 28, 2021",Vaccine squabble tests global trade ties as WTO meeting postponed
30,"November 26, 2021",Germany’s Scholz plans early December visit to Macron
31,"November 25, 2021",German Greens delay ministerial picks amid internal rift
32,"November 24, 2021",What’s in the German coalition deal for Europe (and the UK)
33,"November 23, 2021",Maroš Šefčovič: Post-Brexit talks will ‘probably’ drag into next year
34,"November 23, 2021",‘All talk and no walk’: America ain’t back at the WTO
35,"November 22, 2021","France won’t mix domestic and EU agendas, Beaune says"
36,"November 21, 2021",EU’s Šefčovič on Brexit: I feel like the only one in a hurry
37,"November 21, 2021",China downgrades Lithuania’s diplomatic status over Taiwan row
