column1,Date,Headline
0,2021-12-10,REFILE-UPDATE 2-European stocks slip on Omicron worries, but post best week since March
1,2021-12-10,Tech stocks drag European shares ahead of U.S. inflation data
2,2021-12-09,UPDATE 2-European shares fall again on Omicron worries
3,2021-12-09,European shares rebound as vaccine reassurances lift sentiment
4,2021-12-08,UPDATE 2-European shares end lower as tech, luxury stocks lose ground
5,2021-12-08,Defensive sectors lift European shares after two-day rally
6,2021-12-07,UPDATE 2-Tech, auto help European shares to best gains in over a year
7,2021-12-07,European shares hit over 1-week highs as Omicron worries fade
8,2021-12-06,UPDATE 2-European shares bounce on hopes Omicron may be mild
9,2021-12-06,European shares bounce after volatile week
10,2021-12-03,UPDATE 2-European shares end bumpy week with losses
11,2021-12-03,European shares set to end a bumpy week with gains
12,2021-12-02,UPDATE 2-European stocks fall as Omicron worries rattle investors
13,2021-12-02,European shares fall on losses in tech, travel companies
14,2021-12-01,UPDATE 1-Luxury goods groups Hermes, Richemont push UMG and Vodafone out of blue-chip Euro STOXX 50 index
15,2021-12-01,Luxury goods group Hermes wins promotion to blue-chip Euro STOXX 50 index
16,2021-12-01,UPDATE 2-European shares rebound from Omicron-spurred rout
17,2021-12-01,European shares start December on a high; Omicron impact in focus
18,2021-11-30,UPDATE 3-Hawkish Powell comments, Omicron worries drag down European stocks
19,2021-11-30,European stock futures tumble after Moderna CEO raises vaccine efficacy doubts
20,2021-11-29,UPDATE 2-European shares regain ground after selloff fuelled by Omicron variant
21,2021-11-29,European shares rebound from Omicron-fuelled selloff
22,2021-11-26,UPDATE 3-European shares suffer worst day in 17 months on virus fears
23,2021-11-26,European stock futures slump over 2% on fears over new virus variant
24,2021-11-25,UPDATE 2-European shares bounce off 3-week lows as utilities rise
25,2021-11-25,European shares rise on tech rebound; Remy Cointreau hits new high
26,2021-11-24,UPDATE 2-Telecom Italia tops Europe's STOXX 600 amid spiking COVID-19 cases
27,2021-11-24,Oil stocks help European shares rebound from four-day losing streak
28,2021-11-23,UPDATE 2-European shares hit 3-week lows on COVID-19 surge; oil stocks, miners rise
29,2021-11-23,European shares tumble on COVID surge, rate hike fears
30,2021-11-22,UPDATE 2-European shares end flat as warnings of tighter curbs cloud M&A cheer
