"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"10.12.2021","4.199,16","4.198,18","4.221,57","4.178,66","25,37M","-0,22%"
"09.12.2021","4.208,30","4.242,66","4.246,52","4.201,85","26,13M","-0,59%"
"08.12.2021","4.233,09","4.273,32","4.288,20","4.233,09","32,55M","-1,01%"
"07.12.2021","4.276,20","4.157,72","4.277,03","4.157,72","34,42M","3,36%"
"06.12.2021","4.137,11","4.095,39","4.146,16","4.078,64","30,03M","1,40%"
"03.12.2021","4.080,15","4.118,98","4.150,42","4.059,02","33,31M","-0,68%"
"02.12.2021","4.108,02","4.157,70","4.157,70","4.086,82","36,90M","-1,70%"
"01.12.2021","4.179,15","4.080,85","4.187,86","4.080,85","37,48M","2,86%"
"30.11.2021","4.063,06","4.089,51","4.110,96","4.027,43","67,92M","-1,13%"
"29.11.2021","4.109,51","4.117,79","4.154,15","4.097,98","42,57M","0,49%"
"26.11.2021","4.089,58","4.213,93","4.213,93","4.086,66","66,89M","-4,74%"
"25.11.2021","4.293,24","4.286,63","4.304,86","4.278,80","20,88M","0,40%"
"24.11.2021","4.276,25","4.284,60","4.305,49","4.240,78","32,98M","-0,18%"
"23.11.2021","4.283,82","4.320,41","4.328,48","4.267,23","31,50M","-1,26%"
"22.11.2021","4.338,69","4.361,95","4.371,60","4.336,17","35,01M","-0,41%"
"19.11.2021","4.356,47","4.385,66","4.401,92","4.333,86","53,67M","-0,62%"
"18.11.2021","4.383,70","4.400,73","4.415,23","4.377,73","30,45M","-0,39%"
"17.11.2021","4.400,81","4.399,25","4.409,24","4.399,25","21,95M","-0,02%"
"16.11.2021","4.401,49","4.393,80","4.406,46","4.389,52","23,20M","0,35%"
"15.11.2021","4.386,19","4.364,52","4.386,19","4.364,52","22,95M","0,36%"
"12.11.2021","4.370,33","4.357,90","4.372,32","4.352,43","21,91M","0,28%"
"11.11.2021","4.358,00","4.347,26","4.358,80","4.334,93","21,88M","0,21%"
"10.11.2021","4.348,82","4.349,80","4.358,46","4.330,29","26,21M","0,10%"
"09.11.2021","4.344,63","4.346,62","4.364,04","4.337,66","24,14M","-0,18%"
"08.11.2021","4.352,53","4.359,74","4.366,54","4.352,45","24,73M","-0,24%"
"05.11.2021","4.363,04","4.330,14","4.375,04","4.330,14","31,45M","0,69%"
"04.11.2021","4.333,34","4.314,51","4.340,81","4.314,51","37,96M","0,55%"
"03.11.2021","4.309,61","4.292,59","4.309,66","4.291,10","28,69M","0,31%"
"02.11.2021","4.296,22","4.276,72","4.297,45","4.273,10","24,98M","0,37%"
"01.11.2021","4.280,47","4.256,93","4.291,81","4.256,93","28,15M","0,70%"
"29.10.2021","4.250,56","4.228,73","4.250,68","4.187,81","35,86M","0,39%"
"28.10.2021","4.233,87","4.220,74","4.236,20","4.213,17","29,45M","0,31%"
"27.10.2021","4.220,88","4.220,74","4.226,99","4.205,42","30,33M","-0,07%"
"26.10.2021","4.223,97","4.187,55","4.230,88","4.187,55","26,05M","0,85%"
"25.10.2021","4.188,31","4.194,84","4.198,97","4.185,14","25,37M","-0,01%"
"22.10.2021","4.188,81","4.158,44","4.203,67","4.158,44","23,22M","0,80%"
"21.10.2021","4.155,73","4.163,62","4.166,50","4.140,06","23,62M","-0,39%"
"20.10.2021","4.172,17","4.164,50","4.178,95","4.143,83","26,14M","0,13%"
"19.10.2021","4.166,83","4.159,22","4.169,61","4.151,44","29,47M","0,37%"
"18.10.2021","4.151,40","4.177,73","4.177,73","4.131,41","32,05M","-0,75%"
"15.10.2021","4.182,91","4.160,04","4.186,61","4.159,07","52,84M","0,82%"
"14.10.2021","4.149,06","4.088,14","4.151,76","4.088,14","34,75M","1,61%"
"13.10.2021","4.083,28","4.052,48","4.092,73","4.040,31","30,58M","0,70%"
"12.10.2021","4.055,09","4.058,54","4.063,48","4.019,55","27,49M","-0,43%"
"11.10.2021","4.072,52","4.071,15","4.076,80","4.043,78","28,50M","-0,02%"
"08.10.2021","4.073,29","4.097,12","4.101,96","4.073,29","30,08M","-0,61%"
"07.10.2021","4.098,34","4.037,48","4.099,39","4.037,48","44,37M","2,14%"
"06.10.2021","4.012,65","4.049,64","4.049,64","3.965,87","45,05M","-1,30%"
"05.10.2021","4.065,43","4.002,61","4.066,64","4.001,42","43,06M","1,73%"
"04.10.2021","3.996,41","4.026,70","4.037,35","3.993,87","26,07M","-0,96%"
"01.10.2021","4.035,30","4.037,16","4.055,01","3.981,81","34,49M","-0,32%"
"30.09.2021","4.048,08","4.089,16","4.116,35","4.048,08","39,72M","-0,79%"
"29.09.2021","4.080,22","4.070,45","4.108,22","4.070,45","28,45M","0,53%"
"28.09.2021","4.058,82","4.160,47","4.160,47","4.056,17","42,08M","-2,56%"
"27.09.2021","4.165,48","4.164,63","4.196,07","4.159,60","38,02M","0,17%"
"24.09.2021","4.158,51","4.188,43","4.188,43","4.149,94","26,62M","-0,87%"
"23.09.2021","4.194,92","4.158,21","4.206,11","4.158,21","34,08M","1,08%"
"22.09.2021","4.150,19","4.104,43","4.150,19","4.104,43","32,15M","1,29%"
"21.09.2021","4.097,51","4.049,69","4.106,76","4.049,69","36,49M","1,33%"
"20.09.2021","4.043,63","4.102,19","4.102,19","4.011,49","50,99M","-2,11%"
"17.09.2021","4.130,84","4.180,28","4.213,73","4.119,27","69,03M","-0,94%"
"16.09.2021","4.169,87","4.151,63","4.190,17","4.151,63","33,37M","0,58%"
"15.09.2021","4.145,94","4.188,92","4.196,60","4.145,94","33,86M","-1,09%"
"14.09.2021","4.191,67","4.188,35","4.202,44","4.163,95","26,40M","0,05%"
"13.09.2021","4.189,53","4.174,67","4.210,62","4.174,67","25,54M","0,46%"
"10.09.2021","4.170,35","4.184,05","4.205,22","4.161,09","23,73M","-0,16%"
"09.09.2021","4.177,11","4.171,46","4.194,59","4.134,80","23,63M","-0,00%"
"08.09.2021","4.177,15","4.219,82","4.219,82","4.160,37","28,21M","-1,13%"
"07.09.2021","4.225,01","4.244,40","4.245,76","4.219,86","19,62M","-0,50%"
"06.09.2021","4.246,13","4.204,07","4.252,78","4.204,07","14,03M","1,05%"
"03.09.2021","4.201,98","4.234,26","4.234,26","4.182,96","22,43M","-0,71%"
"02.09.2021","4.232,10","4.225,03","4.239,02","4.219,42","18,50M","0,11%"
"01.09.2021","4.227,27","4.207,00","4.251,39","4.207,00","28,01M","0,74%"
"31.08.2021","4.196,41","4.201,77","4.222,62","4.175,32","32,96M","-0,06%"
"30.08.2021","4.198,80","4.191,99","4.202,87","4.191,79","11,04M","0,19%"
"27.08.2021","4.190,98","4.167,39","4.192,09","4.160,47","14,67M","0,51%"
"26.08.2021","4.169,87","4.172,32","4.176,28","4.141,33","20,15M","-0,27%"
"25.08.2021","4.181,12","4.178,17","4.188,23","4.178,17","17,48M","0,07%"
"24.08.2021","4.178,08","4.182,68","4.197,67","4.163,69","17,98M","0,04%"
"23.08.2021","4.176,42","4.160,76","4.184,03","4.157,49","20,01M","0,70%"
"20.08.2021","4.147,50","4.125,30","4.150,66","4.105,99","22,12M","0,55%"
"19.08.2021","4.124,71","4.183,74","4.183,74","4.082,07","31,92M","-1,54%"
"18.08.2021","4.189,42","4.197,32","4.199,50","4.179,58","22,13M","-0,17%"
"17.08.2021","4.196,40","4.197,85","4.202,02","4.172,67","28,10M","-0,14%"
"16.08.2021","4.202,44","4.219,79","4.219,79","4.188,97","20,11M","-0,64%"
"13.08.2021","4.229,70","4.225,73","4.242,26","4.223,49","18,09M","0,08%"
"12.08.2021","4.226,33","4.205,74","4.232,22","4.204,12","20,47M","0,48%"
"11.08.2021","4.206,33","4.189,63","4.219,06","4.184,87","23,52M","0,44%"
"10.08.2021","4.187,82","4.178,59","4.197,12","4.178,59","16,68M","0,26%"
"09.08.2021","4.177,15","4.175,57","4.186,05","4.170,95","18,16M","0,06%"
"06.08.2021","4.174,54","4.159,04","4.183,92","4.155,16","28,55M","0,32%"
"05.08.2021","4.161,08","4.141,30","4.166,14","4.141,30","22,24M","0,39%"
"04.08.2021","4.144,90","4.124,33","4.150,09","4.124,33","23,47M","0,65%"
"03.08.2021","4.117,95","4.114,52","4.129,21","4.102,13","21,79M","0,03%"
"02.08.2021","4.116,62","4.095,50","4.135,68","4.095,50","22,39M","0,67%"
"30.07.2021","4.089,30","4.113,11","4.114,28","4.078,33","30,30M","-0,67%"
"29.07.2021","4.116,77","4.104,98","4.128,81","4.104,98","22,53M","0,33%"
"28.07.2021","4.103,03","4.067,84","4.103,45","4.065,25","21,44M","0,94%"
"27.07.2021","4.064,83","4.099,80","4.099,80","4.056,23","22,91M","-0,92%"
"26.07.2021","4.102,59","4.103,50","4.106,40","4.072,86","25,84M","-0,16%"
"23.07.2021","4.109,10","4.066,70","4.111,43","4.066,70","21,70M","1,23%"
"22.07.2021","4.059,05","4.037,94","4.078,58","4.037,94","22,56M","0,80%"
"21.07.2021","4.026,68","3.973,90","4.029,09","3.973,90","28,96M","1,78%"
"20.07.2021","3.956,34","3.937,40","3.979,28","3.920,93","28,53M","0,71%"
"19.07.2021","3.928,53","4.018,91","4.018,91","3.904,78","37,55M","-2,66%"
"16.07.2021","4.035,77","4.060,22","4.072,58","4.014,58","24,11M","-0,51%"
"15.07.2021","4.056,39","4.096,00","4.096,00","4.046,04","22,67M","-1,05%"
